MFile 1 2 480
MTrk
0 Meta 0x08  47 79 6d 6e 6f 70 e9 64 69 65 20 31 00
0 Meta 0x0a  45 2e 20 53 61 74 69 65 00
0 TimeSig 3/4 24 8
12959 On ch=1 n=43 v=0
12960 On ch=1 n=38 v=33
14399 On ch=1 n=38 v=0
14400 On ch=1 n=43 v=33
15839 On ch=1 n=43 v=0
15840 On ch=1 n=38 v=33
17279 On ch=1 n=38 v=0
17280 On ch=1 n=43 v=33
18719 On ch=1 n=43 v=0
18720 On ch=1 n=38 v=33
20159 On ch=1 n=38 v=0
20160 On ch=1 n=43 v=33
21599 On ch=1 n=43 v=0
21600 On ch=1 n=38 v=33
23039 On ch=1 n=38 v=0
23040 On ch=1 n=42 v=33
24479 On ch=1 n=42 v=0
24480 On ch=1 n=35 v=33
25919 On ch=1 n=35 v=0
25920 On ch=1 n=40 v=33
27359 On ch=1 n=40 v=0
27360 On ch=1 n=40 v=33
28799 On ch=1 n=40 v=0
28800 On ch=1 n=38 v=33
30239 On ch=1 n=38 v=0
30240 On ch=1 n=33 v=49
31679 On ch=1 n=33 v=0
31680 On ch=1 n=38 v=49
33119 On ch=1 n=38 v=0
33120 On ch=1 n=38 v=49
34559 On ch=1 n=38 v=0
34560 On ch=1 n=38 v=49
35999 On ch=1 n=38 v=0
36000 On ch=1 n=38 v=49
37439 On ch=1 n=38 v=0
37440 On ch=1 n=38 v=49
38879 On ch=1 n=38 v=0
38880 On ch=1 n=38 v=49
40319 On ch=1 n=38 v=0
40320 On ch=1 n=38 v=49
